,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
5308,TERRACED DUPLEX,Lekki,4,4,5,"170,000,000",SALE
5309,BLOCKS OF,Agege,2,2,3,"22,000,000",SALE
5310,HOUSE FOR,Ikosi,4,0,0,"85,000,000",SALE
5311,HOUSE FOR,Lekki,0,0,0,"60,000,000",SALE
5312,MINI FLAT,Lekki,1,1,2,"50,000,000",SALE
5313,FLATS HOUSE,Okota,beds,baths,Toilets,"45,000,000",SALE
5314,HOUSE FOR,Okota,beds,baths,Toilets,"60,000,000",SALE
5315,BLOCKS OF,Ikoyi,3,3,4,"85,000,000",SALE
5316,BLOCKS OF,Ikoyi,3,3,4,"95,000,000",SALE
5317,DETACHED DUPLEX,Ojodu,5,5,5,"170,000,000",SALE
5318,SEMI DETACHED,Lekki,4,0,0,"50,000,000",SALE
5319,DETACHED DUPLEX,Lekki,5,6,6,"115,000,000",SALE
5320,HOUSE FOR,Lekki,0,0,0,"300,000,000",SALE
