,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
4268,FLAT ,Ikoyi,3,4,4,"6,000,000",RENT
4269,FLAT ,Ikoyi,2,2,3,"6,500,000",RENT
4270,TERRACED DUPLEX,Ikoyi,4,4,5,"20,000,000",RENT
4271,TERRACED DUPLEX,Ikeja,4,4,5,"5,000,000",RENT
4272,FOR RENT,2,beds,baths,3,"6,500,000",RENT
4273,SEMI DETACHED,Lekki,4,4,5,"3,500,000",RENT
4274,FLAT ,Ikoyi,3,3,4,"9,000,000",RENT
4275,FLAT ,Island,3,3,4,"6,500,000",RENT
4276,DETACHED DUPLEX,Lekki,5,5,6,"6,500,000",RENT
4277,FOR RENT,Ikeja,beds,baths,5,"30,000",RENT
4278,HOUSE FOR,Ikoyi,3,3,4,"6,500,000",RENT
4279,DETACHED DUPLEX,RoadLekki,4,4,5,"2,500,000",RENT
4280,FLAT ,Ikoyi,4,4,5,"20,000,000",RENT
4281,TERRACED DUPLEX,Lekki,3,3,4,"2,800,000",RENT
4282,FLAT ,Ikoyi,4,4,5,"15,000,000",RENT
4283,COMMERCIAL PROPERTY,Surulere,2,2,2,"1,500,000",RENT
4284,DETACHED DUPLEX,Surulere,4,4,5,"3,200,000",RENT
4285,FLAT ,Island,2,2,3,"3,000,000",RENT
4286,SEMI DETACHED,LekkiLekki,4,4,5,"5,000,000",RENT
4287,FLAT ,elegushiLekki,3,3,4,"2,500,000",RENT
4288,DETACHED DUPLEX,OlogoloLekki,4,4,5,"5,000,000",RENT
4289,HOUSE FOR,Ikeja,5,5,6,"5,500,000",RENT
